127.0.0.1 - - [29/May/2018:00:36:39 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/May/2018:00:36:55 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/May/2018:00:36:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/ HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/table/bootstrap-table-zh-CN.min.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/js/dateformat.js HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/table/bootstrap-table.min.css HTTP/1.1" 200 5713
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/table/bootstrap-table.min.js HTTP/1.1" 200 54651
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/js/jquery/jquery-1.11.1.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:27 +0800] "GET /datafilter-web/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:29 +0800] "GET /datafilter-web/load?pageSize=5&pageNo=1&_=1527525447843 HTTP/1.1" 500 959
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:32 +0800] "GET /datafilter-web/to_upload_chaopi HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:32 +0800] "GET /datafilter-web/bootstrap/js/locales/zh.js HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:32 +0800] "GET /datafilter-web/bootstrap/fileinput/css/fileinput.min.css HTTP/1.1" 200 8586
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:32 +0800] "GET /datafilter-web/bootstrap/fileinput/js/fileinput.min.js HTTP/1.1" 200 92706
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:33 +0800] "GET /datafilter-web/index HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:33 +0800] "GET /datafilter-web/load?pageSize=5&pageNo=1&_=1527525453657 HTTP/1.1" 500 959
0:0:0:0:0:0:0:1 - - [29/May/2018:00:37:36 +0800] "GET /datafilter-web/to_upload_chaopi HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [29/May/2018:00:43:33 +0800] "POST /datafilter-web/upload_file_chaopi HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/to_upload_chaopi HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/js/jquery/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/bootstrap/fileinput/js/fileinput.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/bootstrap/fileinput/css/fileinput.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/bootstrap/js/locales/zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:13 +0800] "GET /datafilter-web/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:00:44:20 +0800] "POST /datafilter-web/upload_file_chaopi HTTP/1.1" 200 470
